"filename", "language", "CSS", "JavaScript", "Markdown", "SCSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\서보형\Desktop\git\pj2\pj2-front\README.md", "Markdown", 0, 0, 29, 0, 0, 0, 0, 10, 39
"c:\Users\서보형\Desktop\git\pj2\pj2-front\memo.md", "Markdown", 0, 0, 236, 0, 0, 0, 0, 51, 287
"c:\Users\서보형\Desktop\git\pj2\pj2-front\package-lock.json", "JSON", 0, 0, 0, 0, 20098, 0, 0, 1, 20099
"c:\Users\서보형\Desktop\git\pj2\pj2-front\package.json", "JSON", 0, 0, 0, 0, 59, 0, 0, 1, 60
"c:\Users\서보형\Desktop\git\pj2\pj2-front\public\index.html", "HTML", 0, 0, 0, 0, 0, 21, 5, 3, 29
"c:\Users\서보형\Desktop\git\pj2\pj2-front\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\서보형\Desktop\git\pj2\pj2-front\public\timer_worker.js", "JavaScript", 0, 18, 0, 0, 0, 0, 2, 9, 29
"c:\Users\서보형\Desktop\git\pj2\pj2-front\rules.md", "Markdown", 0, 0, 39, 0, 0, 0, 0, 12, 51
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\App.js", "JavaScript", 0, 102, 0, 0, 0, 0, 37, 15, 154
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\App.scss", "SCSS", 0, 0, 0, 37, 0, 0, 1, 0, 38
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\Browser.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\ScrollTop.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\context\img_context\config\img_context.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 2, 4
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\context\img_context\context_state_hooks\img_context_states_hook.js", "JavaScript", 0, 14, 0, 0, 0, 0, 3, 3, 20
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\context\img_context\img_provider\img_provider.js", "JavaScript", 0, 19, 0, 0, 0, 0, 2, 3, 24
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\firebase\firebase.js", "JavaScript", 0, 37, 0, 0, 0, 0, 3, 4, 44
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\index.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 8, 15
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\manage_scss_style\commonness\_colors.scss", "SCSS", 0, 0, 0, 40, 0, 0, 11, 5, 56
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\manage_scss_style\commonness\commonness.scss", "SCSS", 0, 0, 0, 123, 0, 0, 32, 19, 174
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\manage_scss_style\responsible\material\card.scss", "SCSS", 0, 0, 0, 10, 0, 0, 2, 11, 23
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\manage_scss_style\responsible\subApp\subApp.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\manage_scss_style\responsible\subApp\subList.scss", "SCSS", 0, 0, 0, 98, 0, 0, 8, 7, 113
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-history\Private-history.css", "CSS", 69, 0, 0, 0, 0, 0, 2, 6, 77
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-history\Private-history.js", "JavaScript", 0, 100, 0, 0, 0, 0, 7, 18, 125
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-management\Private-management.css", "CSS", 79, 0, 0, 0, 0, 0, 4, 4, 87
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-management\Private-management.js", "JavaScript", 0, 82, 0, 0, 0, 0, 5, 13, 100
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-message\Private-message.css", "CSS", 29, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\서보형\Desktop\git\pj2\pj2-front\src\pages\Privacy\private-message\Private-message.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 2, 28
