Date : 2024-09-25 19:51:10
Directory : c:\Users\서보형\Desktop\git\pj2\pj2-front
Total : 307 files,  35493 codes, 1698 comments, 2311 blanks, all 39502 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |     20,182 |          0 |          3 |     20,185 |
| JavaScript |        197 |      9,901 |      1,375 |      1,776 |     13,052 |
| SCSS       |         46 |      2,602 |        206 |        242 |      3,050 |
| CSS        |         57 |      2,483 |        112 |        214 |      2,809 |
| Markdown   |          3 |        304 |          0 |         73 |        377 |
| HTML       |          1 |         21 |          5 |          3 |         29 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |        307 |     35,493 |      1,698 |      2,311 |     39,502 |
| . (Files)                                                                                                                     |          5 |     20,461 |          0 |         75 |     20,536 |
| public                                                                                                                        |          3 |         64 |          7 |         13 |         84 |
| src                                                                                                                           |        299 |     14,968 |      1,691 |      2,223 |     18,882 |
| src (Files)                                                                                                                   |          6 |        174 |         38 |         30 |        242 |
| src\context                                                                                                                   |          3 |         35 |          5 |          8 |         48 |
| src\context\img_context                                                                                                       |          3 |         35 |          5 |          8 |         48 |
| src\context\img_context\config                                                                                                |          1 |          2 |          0 |          2 |          4 |
| src\context\img_context\context_state_hooks                                                                                   |          1 |         14 |          3 |          3 |         20 |
| src\context\img_context\img_provider                                                                                          |          1 |         19 |          2 |          3 |         24 |
| src\firebase                                                                                                                  |          1 |         37 |          3 |          4 |         44 |
| src\manage_scss_style                                                                                                         |          5 |        271 |         53 |         43 |        367 |
| src\manage_scss_style\commonness                                                                                              |          2 |        163 |         43 |         24 |        230 |
| src\manage_scss_style\responsible                                                                                             |          3 |        108 |         10 |         19 |        137 |
| src\manage_scss_style\responsible\material                                                                                    |          1 |         10 |          2 |         11 |         23 |
| src\manage_scss_style\responsible\subApp                                                                                      |          2 |         98 |          8 |          8 |        114 |
| src\pages                                                                                                                     |        166 |      9,521 |        934 |      1,272 |     11,727 |
| src\pages (Files)                                                                                                             |          1 |         40 |         18 |         14 |         72 |
| src\pages\Privacy                                                                                                             |         10 |        518 |         23 |         74 |        615 |
| src\pages\Privacy\private-history                                                                                             |          2 |        169 |          9 |         24 |        202 |
| src\pages\Privacy\private-management                                                                                          |          2 |        161 |          9 |         17 |        187 |
| src\pages\Privacy\private-message                                                                                             |          2 |         55 |          0 |          2 |         57 |
| src\pages\Privacy\private-point                                                                                               |          2 |         76 |          3 |         19 |         98 |
| src\pages\Privacy\private-wish                                                                                                |          2 |         57 |          2 |         12 |         71 |
| src\pages\acc_regist                                                                                                          |         60 |      4,149 |        458 |        478 |      5,085 |
| src\pages\acc_regist\acc_initial_app                                                                                          |          2 |        181 |          9 |         11 |        201 |
| src\pages\acc_regist\acc_initial_regist_app                                                                                   |          2 |        233 |         11 |         14 |        258 |
| src\pages\acc_regist\acc_manage                                                                                               |          2 |        126 |          5 |         14 |        145 |
| src\pages\acc_regist\acc_registApp                                                                                            |          2 |        207 |          6 |         24 |        237 |
